@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
306,'2018/10/10 10:47:20:569',4,542,245,0.5,1
307,'2018/10/10 10:47:20:587',4,542,245,0.5,1
308,'2018/10/10 10:47:20:605',4,542,245,0.5,1
309,'2018/10/10 10:47:20:619',4,542,245,0.5,1
310,'2018/10/10 10:47:20:636',4,542,245,0.5,1
311,'2018/10/10 10:47:20:652',4,542,245,0.5,1
312,'2018/10/10 10:47:20:668',4,542,245,0.5,1
313,'2018/10/10 10:47:20:685',4,542,245,0.5,1
314,'2018/10/10 10:47:20:703',4,542,245,0.5,1
315,'2018/10/10 10:47:20:722',4,542,245,0.5,1
316,'2018/10/10 10:47:20:738',4,542,245,0.5,1
317,'2018/10/10 10:47:20:754',4,542,245,0.5,1
318,'2018/10/10 10:47:20:770',4,542,245,0.5,1
319,'2018/10/10 10:47:20:786',4,542,245,0.5,1
320,'2018/10/10 10:47:20:803',4,542,245,0.5,1
321,'2018/10/10 10:47:20:820',4,542,245,0.5,1
322,'2018/10/10 10:47:20:836',4,542,245,0.5,1
323,'2018/10/10 10:47:20:852',4,542,245,0.5,1
324,'2018/10/10 10:47:20:869',4,542,245,0.5,1
325,'2018/10/10 10:47:20:886',4,542,245,0.5,1
326,'2018/10/10 10:47:20:902',4,542,245,0.5,1
327,'2018/10/10 10:47:20:918',4,542,245,0.5,1
328,'2018/10/10 10:47:20:935',4,542,245,0.5,1
329,'2018/10/10 10:47:20:952',4,542,245,0.5,1
330,'2018/10/10 10:47:20:969',4,542,245,0.5,1
331,'2018/10/10 10:47:20:987',4,542,245,0.5,1
332,'2018/10/10 10:47:21:003',4,542,245,0.5,1
333,'2018/10/10 10:47:21:020',4,542,245,0.5,1
334,'2018/10/10 10:47:21:036',4,542,245,0.5,1
335,'2018/10/10 10:47:21:053',4,542,245,0.5,1
336,'2018/10/10 10:47:21:070',4,542,245,0.5,1
337,'2018/10/10 10:47:21:086',4,542,245,0.5,1
338,'2018/10/10 10:47:21:102',4,542,245,0.5,1
339,'2018/10/10 10:47:21:121',4,542,245,0.5,1
340,'2018/10/10 10:47:21:136',4,542,245,0.5,1
341,'2018/10/10 10:47:21:153',4,542,245,0.5,1
342,'2018/10/10 10:47:21:169',4,542,245,0.5,1
343,'2018/10/10 10:47:21:186',4,542,245,0.5,1
344,'2018/10/10 10:47:21:203',4,542,245,0.5,1
345,'2018/10/10 10:47:21:220',4,542,245,0.5,1
346,'2018/10/10 10:47:21:236',4,542,245,0.5,1
347,'2018/10/10 10:47:21:253',4,542,245,0.5,1
348,'2018/10/10 10:47:21:270',4,542,245,0.5,1
349,'2018/10/10 10:47:21:286',4,542,245,0.5,1
350,'2018/10/10 10:47:21:303',4,542,245,0.5,1
351,'2018/10/10 10:47:21:319',4,542,245,0.5,1
352,'2018/10/10 10:47:21:336',4,542,245,0.5,1
353,'2018/10/10 10:47:21:353',4,542,245,0.5,1
354,'2018/10/10 10:47:21:370',4,542,245,0.5,1
355,'2018/10/10 10:47:21:386',4,542,245,0.5,1
356,'2018/10/10 10:47:21:403',4,542,245,0.5,1
357,'2018/10/10 10:47:21:420',4,542,245,0.5,1
358,'2018/10/10 10:47:21:437',4,542,245,0.5,1
359,'2018/10/10 10:47:21:452',4,542,245,0.5,1
360,'2018/10/10 10:47:21:469',4,542,245,0.5,1
361,'2018/10/10 10:47:21:485',4,542,245,0.5,1
362,'2018/10/10 10:47:21:502',4,542,245,0.5,1
363,'2018/10/10 10:47:21:518',4,542,245,0.5,1
